Tabellenplatz;Team ;Spiele;Punkte;Tordifferenz;Tore;Torschuesse;Ballkontakte pro Spiel ;ZweikaempfeGewonnen;ZweikaempfeVerloren;Abseits;KmProSpiel;PaesseErfolg;Fehlpaesse;Freistoesse;Durchschnittsalter;EckenLinks;EckenRechts
14;1. FC Köln;20;21;-13;20;181;527,8;2058;2139;37;117,49;5087;1430;287;24;27;51
9;1. FC Union Berlin;20;29;9;34;222;534,65;1888;1970;40;120,12;5429;1478;246;26,14;42;36
17;1. FSV Mainz 05;20;13;-21;19;192;506,55;1957;2117;29;117,25;4596;1482;252;24,76;32;35
12;1899 Hoffenheim;20;22;-7;30;232;602,2;1972;2099;32;115,39;6605;1360;296;24,97;38;49
16;Arminia Bielefeld;19;17;-17;15;160;551,89;1984;2063;29;119,54;5383;1371;290;25,29;25;33
5;Bayer Leverkusen;20;35;16;37;263;724,35;2002;2079;51;119,22;9072;1550;236;24,84;56;47
1;Bayern München;20;48;32;58;319;734,35;2006;1861;43;114,82;9257;1425;261;24,03;76;67
7;Bor. Mönchengladbach;20;32;6;37;243;657,4;2052;1990;43;117,64;7838;1503;285;25,42;46;58
6;Borussia Dortmund;20;32;10;39;294;770,75;2080;1878;38;115,75;10205;1509;236;24,55;45;64
4;Eintracht Frankfurt;20;36;12;41;255;615,2;2147;2061;37;116,81;6699;1592;269;24,61;58;51
13;FC Augsburg;20;22;-12;20;175;534,2;1977;2026;40;118,85;5149;1397;287;25,6;25;34
18;FC Schalke 04;20;8;-37;15;202;543,5;2041;2056;43;114,8;5501;1345;265;25,61;33;34
15;Hertha BSC;20;17;-11;25;232;583,15;2007;1993;37;116,56;6336;1346;264;24,33;47;43
2;RB Leipzig;20;41;18;35;292;698,2;2246;2008;37;116,84;8363;1500;287;23,86;54;49
8;SC Freiburg;20;30;2;35;227;528,25;1900;2057;35;118,36;5369;1324;244;24,57;35;43
10;VfB Stuttgart;20;25;3;37;286;604,35;2237;2130;37;115,06;6543;1449;270;23,65;42;51
3;VfL Wolfsburg;20;38;13;32;243;591,7;2223;2165;42;116,56;6112;1529;241;25,6;47;42
11;Werder Bremen;19;22;-3;24;189;547,74;1878;1963;28;116,39;5208;1236;323;24,68;32;36